Zqq(mu=nu): 1.1167(4), 1.1460(2), 1.1807(2), 1.2079(2)
Zqq(mu!=nu): 1.1262(4), 1.1573(3), 1.1930(2), 1.2175(2)
Zqq^s(mu=nu): 1.066(29), 1.117(26), 1.176(15), 1.193(18)
Zqq^s(mu!=nu): 1.134(8), 1.155(8), 1.205(5), 1.225(7)
Zqg(mu=nu): -0.1169, -0.1302, -0.1451, -0.156275
Zqg(mu!=nu): -0.0423464, -0.0580179, -0.0753622, -0.0886633
Zgq(mu=nu): 0.0657(206), 0.0409(199), 0.0138(193), -0.0074(187)
Zgq(mu!=nu): 0.0771(171), 0.0520(166), 0.0245(160), 0.0030(155)

Zgg^5(mu!=nu): 0.723(9), 0.724(27), 0.776(44), 0.547(68)
Zgg^5(mu=nu): 0.73(2), 0.710(39), 0.765(67), 0
Zgg^7(mu!=nu): 0.764(9), 0.784(25), 0.821(39), 0.540(59)
Zgg^7(mu=nu): 0.78(1), 0.767(36), 0.835(64), 0
Zgg^9(mu!=nu): 0.798(8), 0.826(24), 0.855(36), 0.559(57)
Zgg^9(mu=nu): 0.81(1), 0.805(33), 0.880(61), 0
Zgg^10(mu!=nu): 0.811(8), 0.841(23), 0.867(34), 0.582(56)
Zgg^10(mu=nu): 0.83(1), 0.819(32), 0.896(58), 0
Zgg^11(mu!=nu): 0.822(8), 0.853(22), 0.877(33), 0.600(55)
Zgg^11(mu=nu): 0.84(1), 0.831(31), 0.907(56), 0
Zgg^13(mu!=nu): 0.839(7), 0.870(20), 0.891(30), 0.634(57)
Zgg^13(mu=nu): 0.86(1), 0.850(29), 0.922(52), 0
Zgg^15(mu!=nu): 0.851(7), 0.881(19), 0.901(28), 0.668(55)
Zgg^15(mu=nu): 0.87(1), 0.864(28), 0.929(47), 0
Zgg^17(mu!=nu): 0.860(6), 0.889(17), 0.907(26), 0.706(52)
Zgg^17(mu=nu): 0.89(1), 0.874(26), 0.932(43), 0
Zgg^20(mu!=nu): 0.870(6), 0.897(16), 0.915(24), 0.750(47)
Zgg^20(mu=nu): 0.90(1), 0.886(24), 0.932(39), 0
