ns	Zqq^s	err(Zqq^s)	Zqg	err(Zqg)	Zgq	err(Zgq)	Zgg	err(Zgg)
0	1.1630306809791433	0.0007659735109401518	0.03871804332141497	0.00960407561547755	0.08110078513486892	0.03282492536388154	1.919278591529945	0.28283854892914184
1	1.1614275469285578	0.00027939461004931784	0.019673861104080897	0.004141807549818087	0.0016325998495446722	0.012819298756202302	0.975246919028988	0.07931002485136175
2	1.160999870539007	0.0002001471219989153	0.014597728681468735	0.002882668549744369	-0.019567482702056674	0.007626664045584676	0.7236199982139532	0.039278156443795884
3	1.1609990658075733	0.00018084408343441196	0.013261613853089839	0.0025516485261145743	-0.019607310622829974	0.005918278515024175	0.657388026975818	0.027676085213365717
4	1.1611735873948263	0.000165560339182404	0.013240500672177382	0.002517576421532491	-0.010956115467659093	0.005313468241853511	0.6563415297857566	0.023516682433487222
5	1.1614224564122475	0.0001596366154941433	0.013691095080315022	0.0025877662422750824	0.0013805243298533958	0.005120713908416635	0.6786778810884541	0.021859098713859944
6	1.161695742192405	0.00016920198841933364	0.014269967545748562	0.0026875915922626253	0.01492751630962865	0.0050875178371610486	0.707373054308592	0.021098574856672686
7	1.1619670992841973	0.00019186871690398427	0.014834757510588489	0.0027868660255257246	0.028378899822662396	0.005105590485434255	0.7353701414603943	0.020629478279354383
8	1.1622229365846484	0.0002213426301023382	0.015330107616134259	0.002873983093258212	0.04106095482064764	0.005125543653845809	0.7599250404452927	0.020209610639563537
9	1.1624577358461008	0.0002527748399150001	0.01574229523935622	0.0029460011494015733	0.052700137953236414	0.005128270734272342	0.7803575112672981	0.019755735137602183
10	1.1626704111848778	0.0002835873127540242	0.016076506750149558	0.003003813567261751	0.06324262121699438	0.005109735372141486	0.7969246461132667	0.019254786621248153
11	1.1628623084451544	0.00031269260991798433	0.01634451602932638	0.0030496060490650817	0.07275511915169877	0.005072503334559917	0.8102100850852988	0.018719075868600863
12	1.1630356627033016	0.00033975320953512963	0.016559323203568524	0.0030857998072944546	0.08134842620228344	0.005021259635314517	0.8208582543098372	0.01816741728825518
13	1.163192869046901	0.00036477140020065474	0.016732410619122284	0.0031145242703174226	0.08914126869592372	0.004960556443284449	0.8294383424486376	0.017616129169557623
14	1.1633361580317263	0.0003878892429520357	0.0168730473603466	0.0031374898532984213	0.09624421698966977	0.004894054473150688	0.8364098251057202	0.017076684369028754
15	1.163467465036672	0.0004092906211215831	0.016988431019142505	0.0031560168531958254	0.10275320929160764	0.004824416901113071	0.8421294924356251	0.01655619079532587
16	1.1635884701200048	0.0004291691638878461	0.01708412636866241	0.0031711193857562516	0.10875152736926277	0.00475357678997546	0.8468731945323945	0.016058725351415913
17	1.1637005913385117	0.0004477054603472265	0.01716439655195846	0.00318356883644147	0.11430946537802286	0.004682856743057642	0.8508522586977455	0.015586170664189996
18	1.163805019823569	0.0004650607139750639	0.017232537747213922	0.0031939562557898784	0.11948606860960151	0.00461314355933539	0.8542300790575464	0.015139067859278882
19	1.1639027515167506	0.0004813754748857356	0.017291061713630394	0.0032027287569207485	0.12433070664963311	0.004545016565230748	0.8571311654853021	0.014717069146822883
20	1.1639946164903698	0.0004967702411033066	0.017341871513381027	0.003210222009688406	0.12888452681795656	0.00447883518235572	0.8596498542751649	0.01431923907335648
