ns	Zqq^s	err(Zqq^s)	Zqg	err(Zqg)	Zgq	err(Zgq)	Zgg	err(Zgg)
0	1.129200600915508	0.000809150508590825	-0.08937625867801376	0.005783082341215429	0.06702750097885209	0.009939735941954603	1.7723794448289787	0.11645714732729806
1	1.1330906970672476	0.0006492608620784802	-0.045987856182293736	0.002636389113958056	-0.010115353471648264	0.005087461809972759	0.9119621409069859	0.0517458760698997
2	1.133461984349599	0.000588979022793577	-0.03799763370966751	0.0007428088860299077	-0.017478146695351315	0.0016872798536939019	0.753512246534101	0.013946986445676757
3	1.1329420734723057	0.0005963257984322417	-0.03690802453510857	0.0005421730705106429	-0.007168057292204424	0.0012593860138253004	0.7319046868119103	0.009495499119787603
4	1.1322225875396288	0.0006039508645792689	-0.037597746564653055	0.0004957248143955906	0.007099720260187348	0.0012819771489333345	0.7455822982269139	0.008702931406187699
5	1.131433682223146	0.0006045176706681203	-0.03910405548964699	0.0005134084907904945	0.02274410163266243	0.0014001428997335527	0.7754531294283155	0.008855047335444342
6	1.1306847479307016	0.0006040740132318504	-0.04059665281483454	0.0005250224867914074	0.03759585098949908	0.0015570500644316275	0.8050521398506215	0.009236022974975548
7	1.130028599134748	0.0006036405270391145	-0.04173915052168663	0.0005387002056893384	0.050607618426245615	0.0017279095838798018	0.8277084962777765	0.009677778634899738
8	1.12944669497118	0.0006023331802763309	-0.04263895740838908	0.0005438730751228967	0.06214707140615525	0.001842622930667833	0.8455521297625704	0.00977572682727698
9	1.1289169279171258	0.0006018193764713099	-0.04339682700300989	0.0005959298177017195	0.07265262194579662	0.00217024878499117	0.8605810818742423	0.010923817450815908
10	1.1284374035182074	0.0006008712312710586	-0.04401647799662229	0.000615362435720752	0.08216183441856079	0.0023635461584448157	0.8728690809267198	0.011335415867120358
11	1.1279858467854649	0.0005983812212688932	-0.04459446228450502	0.0006507467666219711	0.09111644882953104	0.002673231043094378	0.8843308751003485	0.01231858553485182
12	1.127579858990431	0.0005975563393884118	-0.045043918644646345	0.0006701345390578062	0.09916739790902494	0.002877890377327544	0.8932438460506107	0.012785616158572984
13	1.1271975855174794	0.0005987742917775945	-0.04545775660824906	0.0007656724660438323	0.10674811229128059	0.0035208754101904304	0.9014506271406654	0.015208948867267034
14	1.1268743420977336	0.0006018418378895239	-0.045676562197795846	0.0008274022345785229	0.11315821896204555	0.003973095756328184	0.9057897572544523	0.016700841031901215
15	1.1265516133979656	0.0005991453841161328	-0.0459538314472591	0.0008270717524093636	0.11955812444682128	0.004126537425662615	0.9112882727545819	0.017017342573009415
16	1.1262748056351077	0.0006034592560321475	-0.04609340531476195	0.0008738120442874248	0.12504739990537125	0.0044995449903513715	0.9140562366652824	0.018258110740580886
17	1.1260221602155145	0.0006044882351465327	-0.04618596430027839	0.0008607921207346259	0.1300574948367918	0.004535033588593059	0.9158917495156071	0.01806539827630596
18	1.1257869216373357	0.0006057907481599217	-0.04625742541005093	0.0008516982563003667	0.13472240260803317	0.004577195699323518	0.9173088781302136	0.017941120616308936
19	1.125567787168767	0.0006074789776100029	-0.0463134310683747	0.0008461574916469168	0.13906795681399467	0.004625331247730537	0.9184195146116045	0.017877287176723145
20	1.1253617375787086	0.0006093229850731036	-0.04635438604522176	0.0008432166143840405	0.14315403057862236	0.004679216698106333	0.9192316848760388	0.017853334077273894
