ns	Zqq^s	err(Zqq^s)	Zqg	err(Zqg)	Zgq	err(Zgq)	Zgg	err(Zgg)
0	1.129200600915508	0.016853744634255274	-0.08937625867801376	0.011055281763598667	0.06702750097885209	0.016723092186473987	1.7723794448289787	0.21992909119070173
1	1.1330906970672476	0.016826664325649502	-0.045987856182293736	0.005506244916599361	-0.010115353471648264	0.011824871161725254	0.9119621409069859	0.108809724110965
2	1.133461984349599	0.004570083517556342	-0.03799763370966751	0.0013260453561437914	-0.017478146695351315	0.003572952571676077	0.753512246534101	0.025498817675694077
3	1.1329420734723057	0.00321040728866103	-0.03690802453510857	0.0009332092666563261	-0.007168057292204424	0.002401922658049345	0.7319046868119103	0.017299433796865965
4	1.1322225875396288	0.0034513068491607885	-0.037597746564653055	0.0009657809439681814	0.007099720260187348	0.0024829952742433862	0.7455822982269139	0.018095805729437066
5	1.131433682223146	0.0038818769180369414	-0.03910405548964699	0.0010934140075450195	0.02274410163266243	0.0028113307104818547	0.7754531294283155	0.020614518086076783
6	1.1306847479307016	0.0037285522025596275	-0.04059665281483454	0.0010980398302150559	0.03759585098949908	0.0029107281850750343	0.8050521398506215	0.020725406873166038
7	1.130028599134748	0.0035276567131028586	-0.04173915052168663	0.0010838258643736099	0.050607618426245615	0.0030180470614019897	0.8277084962777765	0.020463463111349858
8	1.12944669497118	0.003459661653356621	-0.04263895740838908	0.0010888594013264091	0.06214707140615525	0.0031757321172764938	0.8455521297625704	0.02053696156671759
9	1.1289169279171258	0.003450977505875164	-0.04339682700300989	0.0011282225621245623	0.07265262194579662	0.0034967357710147472	0.8605810818742423	0.021346365577387765
10	1.1284374035182074	0.0034451534180292708	-0.04401647799662229	0.0011490138280166931	0.08216183441856079	0.003736547984563507	0.8728690809267198	0.02175971210617787
11	1.1279858467854649	0.003366957130580973	-0.04459446228450502	0.001161487024067971	0.09111644882953104	0.004007758346133233	0.8843308751003485	0.02213116172415723
12	1.127579858990431	0.003260086016282535	-0.045043918644646345	0.0011565216982450284	0.09916739790902494	0.004185387083705829	0.8932438460506107	0.02205425908428959
13	1.1271975855174794	0.00293707980433128	-0.04545775660824906	0.0011529424700309774	0.10674811229128059	0.004561030289013764	0.9014506271406654	0.022283353725216677
14	1.1268743420977336	0.0031281535938975096	-0.045676562197795846	0.0012366890030106562	0.11315821896204555	0.005076760057441301	0.9057897572544523	0.024164433559747366
15	1.1265516133979656	0.0031120928383930797	-0.0459538314472591	0.00123747185121473	0.11955812444682128	0.005248485857904997	0.9112882727545819	0.02439747884152497
16	1.1262748056351077	0.0030854587505799017	-0.04609340531476195	0.001265701609934303	0.12504739990537125	0.005575953871700031	0.9140562366652824	0.02520641618637244
