ns	Zqq^s	err(Zqq^s)	Zqg	err(Zqg)	Zgq	err(Zgq)	Zgg	err(Zgg)
0	1.1508697724844696	0.007155269829339989	-0.2209387250474029	0.09809812069321489	0.13762928554702003	0.10322032411768112	3.277084045206571	1.4439615618067694
1	1.1590716474147502	0.0031583173381785636	-0.11114362157517893	0.04044168176790408	0.015976106703991955	0.04072775943269293	1.6485599215460673	0.5957594627915481
2	1.1624991700255565	0.001698420753036891	-0.05609775873736029	0.007708604164043288	-0.034862801635705085	0.00816497868552852	0.8320850535146594	0.11068348759322315
3	1.1623156462497588	0.0016968585635811718	-0.048439399159330106	0.004799393206989815	-0.03214050733924191	0.006103606432240181	0.7184915591153176	0.06740434276937765
4	1.161628849237047	0.001708302558220882	-0.04728782817002518	0.003859968547329621	-0.021953386187767963	0.005762375330824429	0.7014105207126444	0.05271098608039272
5	1.1608196791932923	0.0017164610500733167	-0.04814364347258362	0.00350769293864008	-0.009951149790124961	0.005810766301583376	0.7141045455038422	0.04672252703502562
6	1.1600018532207166	0.0017340930216483241	-0.049562585171535084	0.003517937353099936	0.002179557821428366	0.006380050808891808	0.7351519606774387	0.046968760793972476
7	1.1592527500550145	0.0017597194397502107	-0.0507653014135765	0.003447077522403742	0.0132908993518411	0.006802589589300339	0.7529919619134684	0.04581743117760798
8	1.1585988081961163	0.0017807264990995747	-0.05165848324230566	0.0034521255027408953	0.02299085580787866	0.007313049912865766	0.7662414055030372	0.04655976641917639
9	1.1579502926937963	0.0017782192215397119	-0.05274160499425523	0.0032762469252241504	0.03261022256611685	0.007249700722855698	0.7823074561832211	0.04371570348241506
10	1.1573841582426776	0.0017717089439301858	-0.05360659544722241	0.003084346588853784	0.04100762289055015	0.006972498204353358	0.7951378237148249	0.040454848884568406
11	1.1568449898962236	0.001765899708662698	-0.05435421749514423	0.0029380330571543243	0.049005078774384085	0.006876240321506103	0.8062274958495187	0.038146187760675264
12	1.1563553828484014	0.001758685243336818	-0.05497095373645778	0.002808156408317378	0.056267400774538505	0.006765877536854483	0.815375747152442	0.03612309169848505
13	1.155934163396363	0.001755948006524863	-0.055342296955878674	0.0027246746312955205	0.06251540159553141	0.006835351822974315	0.8208844052036856	0.03527521338721134
14	1.1555171473855663	0.0017486794297392478	-0.05577941847250653	0.0026292926404337595	0.06870099570990948	0.006773489158534829	0.8273684209044229	0.03385796950952644
15	1.1551940101189948	0.0017527496977956824	-0.055844551700864324	0.0025712901989774074	0.07349412966972821	0.006834630948277566	0.8283349137732632	0.033317365370393294
16	1.1548408700533375	0.001745169399982169	-0.05614453144380775	0.0024941651891948803	0.07873225969027935	0.006773408399876762	0.8327846956981988	0.03222238228577911
17	1.1545064047351015	0.0017381448775643058	-0.056409035627990156	0.002428668381775039	0.08369338723995144	0.0067386134681627595	0.8367082471243596	0.031304569308348226
18	1.154251479496752	0.0017397938722731167	-0.05637437877977269	0.0024386633358309874	0.08747480030063104	0.007080415529396635	0.8361947893023761	0.032248341586607325
19	1.1539598744372666	0.0017308111490473455	-0.05656063082898705	0.0023802053118516697	0.09180020381092231	0.007051008536163478	0.8389576888841499	0.03156000165871514
20	1.1537868394987405	0.0017367078930437718	-0.05628317701374357	0.002448502776993413	0.09436700107308756	0.007636931686789448	0.83484304443116	0.033699656195295496
21	1.153513485646539	0.001728267572695135	-0.05647761963410287	0.00239801785255846	0.09842164796071723	0.0075963365428826715	0.8377272461027222	0.03293467278279187
22	1.1532552800760565	0.0017200901923339527	-0.056651306480048104	0.002353660909782172	0.10225159599084485	0.007553166475139862	0.8403035573267688	0.03224204690073249
23	1.1530096896510207	0.0017125225946153964	-0.056808080442643044	0.002315106833251216	0.10589442142034271	0.007516290398102948	0.8426289856952593	0.031623283459946014
24	1.1527753395506564	0.0017054466394687163	-0.05695081420868314	0.0022816801006109015	0.10937051606016915	0.0074841612851985016	0.8447461419875235	0.031067254074922945
25	1.1525484733436842	0.0016988673777483612	-0.05708582457428133	0.002253311743135728	0.11273560053084153	0.007463930208376399	0.8467487271659597	0.03057783233758759
26	1.1523325399097402	0.0016927051556024956	-0.05720794419452828	0.0022283474469150153	0.11593851690648395	0.007443618613275595	0.8485600938999539	0.030127909353038346
27	1.1521249163908254	0.0016870123379069332	-0.057321442885920774	0.0022066689851077854	0.1190181706702825	0.0074274628201853096	0.850243578614312	0.029718575673270062
28	1.1519092904256352	0.001677856909100016	-0.05748457079449344	0.0021468350779194315	0.12221646580485132	0.007163928370671127	0.8526629870320069	0.028352864082001456
29	1.1517170481671082	0.0016732243808778389	-0.057582040653780066	0.002131978864670755	0.12506796372552248	0.007152395643937408	0.8541086965234348	0.028016130632538112
30	1.1515304697992672	0.0016691083317968267	-0.057676116710552075	0.0021188038078974692	0.12783544873470704	0.007144471418333948	0.8555040619613892	0.027699648543142566
31	1.1513496475299834	0.0016653700146669673	-0.057766596492161405	0.002106791130733006	0.13051755265789164	0.007136263495890654	0.8568460799615811	0.027394577798719105
32	1.1511067661437473	0.001656285856527436	-0.05810137155688875	0.002054465808814222	0.13412008637730347	0.006841891975014016	0.8618113877762648	0.025858116983534733
33	1.1509368751625304	0.0016532236264857254	-0.0581820213628425	0.00204426971988632	0.13664004486599968	0.006826820522390308	0.8630075933199611	0.025561263845792187
34	1.1507718412193844	0.0016504772870020107	-0.05825978180473984	0.002034596686616036	0.13908795856049733	0.006809309704685182	0.864160939662173	0.0252688409740095
35	1.1505785294110333	0.0016472093736740647	-0.05845336812222692	0.001991389000385479	0.1419552250632131	0.006475958604248047	0.8670319986011659	0.023796970135790775
36	1.1504216051771603	0.0016452114769022435	-0.05852350708641444	0.001983820357273276	0.14428285077582	0.006468122649780603	0.8680723107334652	0.023552192745171296
37	1.1502698947759555	0.0016434114514174343	-0.0585901749339176	0.0019761890283845245	0.1465331402697011	0.0064550563626450536	0.8690611361453637	0.02330474872483823
38	1.1500644364059995	0.0016449297769507171	-0.05885349747268042	0.0019478728769941375	0.14958056569886113	0.006193052312958532	0.8729665659179336	0.021955755255829035
