ns	Zqq^s	err(Zqq^s)	Zqg	err(Zqg)	Zgq	err(Zgq)	Zgg	err(Zgg)
0	1.2157452752722844	0.0028085203116817365	-0.08688020407955829	0.036067674324225606	-0.04712570718319862	0.02357665031133895	1.0000584700699622	0.42007855954655543
1	1.2150412608499084	0.002984301697303595	-0.1097647549006173	0.039904648387819576	-0.03902315762427722	0.024552093391198387	1.2634431849344303	0.4615926416015517
2	1.2159602323839025	0.00225967125404095	-0.09649559588451408	0.019839629880525754	-0.04960130740593712	0.011365312011489243	1.1107033214856066	0.22997851295759247
3	1.2163949910862886	0.002097008006146873	-0.07352584962718209	0.01004699281973592	-0.05460608968512028	0.006647773072110473	0.846307450835152	0.11572093146953837
4	1.2159762617553505	0.002074452825690998	-0.06511931464085943	0.007013997563584466	-0.049786657519697276	0.005552107993502888	0.7495427305862585	0.0795937970220674
5	1.2153303915243965	0.0020721250550243455	-0.06176114515515233	0.005834234977791996	-0.04235270775012018	0.005350197262983506	0.7108871931969184	0.06484710844412993
6	1.2144464924182634	0.002067372075748394	-0.062387500640512475	0.005216039894818409	-0.03217881641570234	0.005355541984294735	0.7180965701646046	0.057288046884277626
7	1.2135631743084085	0.002078189591836864	-0.0634638460659268	0.004868334651905753	-0.022011683568346596	0.005527170511606848	0.7304847555481389	0.05240064374897101
8	1.2126810949806335	0.0020910509581208805	-0.06496196185774272	0.004653325113140773	-0.011858817110125687	0.0057144130020554814	0.747727643342524	0.04895847335142601
9	1.2118525051715712	0.002098693164137442	-0.066347213157391	0.004493931833760901	-0.0023215758589959132	0.005910767867282899	0.7636719073223637	0.046473831568306846
10	1.2110409595998988	0.0021134317478705028	-0.06790048659558127	0.004402572760083796	0.007019409431870668	0.0060600184224167755	0.7815496640618226	0.04436187596402643
11	1.2102959201142427	0.002130661360969359	-0.0693371399071934	0.004341151219348655	0.015594870398418217	0.006184684207678026	0.798085103662568	0.04257048623182611
12	1.2095662877238809	0.002147293826488438	-0.07064304947139421	0.004301162729423649	0.02399300500627404	0.006329951426165944	0.8131156815142434	0.04103521523398277
13	1.2088927799342306	0.0021618871933648132	-0.07181398437610698	0.004273322105202246	0.03174512550424149	0.0064039523978878235	0.8265927262481901	0.03968042174254327
14	1.208252493828673	0.002176519147961595	-0.07286063267822812	0.004251843054811452	0.03911486254304513	0.006473849139432973	0.8386392755935244	0.038458725939195144
15	1.207654222136628	0.002190376037671652	-0.07381803794269964	0.004182937066077269	0.04600102299304277	0.006358408087968076	0.8496587881067534	0.036685484755637876
16	1.2071042240849055	0.0022070130121681904	-0.07466307663581864	0.004172165858706846	0.05233152228082408	0.006380833565485967	0.8593848823617184	0.0356974653970878
17	1.2065719019032464	0.00222184463535603	-0.07540970310121507	0.0041599263123211876	0.05845858489457454	0.0063879772926568774	0.8679783100843711	0.03477448758255627
18	1.206139424252921	0.0022377479753516107	-0.07575574273311551	0.004181055799225929	0.06343644806660212	0.006452756188430626	0.8719610962674844	0.03476497919047175
19	1.2056748013316057	0.002253343297582143	-0.0763410056054697	0.004174868650164927	0.068784305311387	0.006479724322145067	0.8786973836333624	0.03419320330742191
20	1.2051654357051926	0.002266565246839361	-0.07714994455787261	0.004207334972471147	0.0746471797575119	0.006619932081657986	0.8880083297327437	0.03428434666252316
21	1.2047515291300548	0.0022802551427994833	-0.07759152860205308	0.0041992705505237565	0.07941129383399224	0.006648392574437748	0.8930909280690874	0.03382514384578086
22	1.204364458314986	0.0022925827733118725	-0.07796033554146715	0.004186924093307656	0.08386653114682528	0.006669942402247121	0.8973358925994408	0.033374161841733634
23	1.2039982899112174	0.0023043900948736327	-0.0782668751376996	0.004171569885529621	0.08808118272550787	0.006682369135273838	0.9008641863401797	0.032942380741505434
24	1.2036578171272971	0.0023139435981155447	-0.07850975629950097	0.004150626869631775	0.09200008063377445	0.0066860305870134465	0.9036597922391271	0.03248177610994539
25	1.2033384043657411	0.002322153301519961	-0.07870130580351081	0.004125926420749056	0.0956765792638018	0.006681840203881632	0.9058645883257179	0.032011583040314644
26	1.2030366190649326	0.0023290934455648385	-0.07885176642308823	0.004098429439611008	0.09915018655544532	0.006672699831476204	0.9075964647276359	0.03153647286277629
27	1.2027535512339338	0.0023348614739998564	-0.078963526885244	0.004067812406168031	0.10240835722053379	0.00665432703456601	0.9088829143273497	0.03104792465198241
28	1.2024787085819657	0.0023323493733298055	-0.07907692740890065	0.004105469552153247	0.10557189947011279	0.006920501563643357	0.9101884337081378	0.03199280509469637
29	1.2022448349506452	0.002352016440571374	-0.07904963451783263	0.0041365637230233706	0.1082638249357448	0.007101433490223391	0.9098743030033635	0.0325604958176734
30	1.2020044572499788	0.0023547070661812516	-0.07908518260181163	0.004099512699819587	0.11103064011044197	0.0070819896600029675	0.9102835948992184	0.03209014035364111
31	1.201774643694471	0.002356607453146277	-0.0791080601989107	0.004061506016302202	0.11367586199618841	0.007057081514326498	0.9105470521910771	0.03161510497831031
32	1.2013940066678537	0.002363541449082037	-0.07978258943248982	0.004065551953300431	0.1180569719792387	0.006994032855357394	0.9183106451000476	0.03087220172374043
33	1.2011844732935215	0.0023645899318568316	-0.07977240254852236	0.004027516878453179	0.12046876012835074	0.006953360219714315	0.9181935023043187	0.030368400173913297
34	1.2009827796174868	0.0023651250344260493	-0.07975720493361782	0.003989529598022531	0.12279031357252823	0.006910206218629627	0.9180186888819007	0.02987136895586512
35	1.2007881285689452	0.002365220740464239	-0.0797389010243824	0.003951840534657327	0.12503080633183203	0.006865091573847221	0.9178081235178831	0.029382340014904876
36	1.2006490662503848	0.002371885932006206	-0.07952589304803717	0.003948220992223562	0.12663147569349908	0.0070116150153456775	0.9153565272362276	0.02965670409267564
37	1.2004605078734996	0.002372016359732587	-0.07953100670885956	0.003914906795668273	0.12880183686658925	0.006971434082405451	0.9154154808510759	0.029205074007336716
38	1.2002773084014398	0.0023719210794017043	-0.07953556591969291	0.0038824324492301595	0.1309105160111834	0.006930274622654926	0.9154680501771952	0.02876303985671915
39	1.2000940301911003	0.002371185706047903	-0.07954793906422085	0.003850859733186086	0.13302009967601025	0.006882963426474062	0.915610554045648	0.028323117417079005
40	1.1999204506551406	0.002370787413203257	-0.07955241256612573	0.00382028818809148	0.1350180509354193	0.006840804660062654	0.9156621303805287	0.02790145293252212
