ns	Zqq^s	err(Zqq^s)	Zqg	err(Zqg)	Zgq	err(Zgq)	Zgg	err(Zgg)
0	1.2041291675272103	0.00280762862547529	0.11567090976594545	0.0617343653609305	0.10733907738129142	0.10085409318443127	4.276510586815321	2.1195932106842412
1	1.2011851494346169	0.0005475816878609928	0.039267791543504085	0.010222790396289289	-0.0015048370891511693	0.018138333360237187	1.4517852808693907	0.25016908284878975
2	1.2006432533407232	0.0003478186538429841	0.024715809508662024	0.005185486192562332	-0.021539348698500906	0.008556465810240403	0.9137805479133526	0.0847400747196277
3	1.2005757968692228	0.0003058004216026656	0.020015526572524277	0.003926465319665875	-0.024033273871837135	0.005734412841776978	0.7400047379063955	0.04686549684257352
4	1.2006489694113356	0.00028390726301081155	0.018373555520153677	0.0035128144725603376	-0.021327955915798356	0.004570109172602138	0.6792988239812686	0.0338790408357452
5	1.2007941505762216	0.0002656628060819952	0.017951287118475056	0.003394673341678865	-0.015960377220034745	0.004042345968580708	0.6636869955992977	0.02838320778913237
6	1.200983815935963	0.00025020044671679735	0.01806972286338821	0.003400876288128405	-0.008948153951007932	0.0038088169360403954	0.6680657445952384	0.0257371996554919
7	1.201202062387031	0.0002397964954214675	0.018442113797462096	0.003464388361324846	-0.0008792471320680451	0.0037296572949430426	0.6818335655973432	0.024357936097423767
8	1.2014373182865863	0.00023692603241554433	0.01892824509947936	0.0035537663669507496	0.007818522514002346	0.0037361131208548974	0.6998065227733651	0.023588946750927417
9	1.2016805742252317	0.00024284681761834395	0.01945161012627635	0.0036522942193817657	0.016812063957889346	0.0037890116587666937	0.7191560598178154	0.023117484054088085
10	1.201924652920994	0.0002570518740334762	0.01996862472041618	0.0037506011005890706	0.025836022687431816	0.0038639283743475863	0.7382708101871165	0.022781609640306063
11	1.2021643862882794	0.0002777532496939457	0.020454745302122348	0.0038434359404542545	0.03469932721105182	0.003945481658724701	0.7562433640473876	0.0224944708216036
