ns	Zqq^s	err(Zqq^s)	Zqg	err(Zqg)	Zgq	err(Zgq)	Zgg	err(Zgg)
0	0.9273304865603407	12.149027424822032	-7.289070414578618	296.1372372853318	2.174181229572463	92.68840160511817	55.668521656864954	2259.3572124980074
1	1.223333631824227	0.003282530473071276	-0.10259544344136023	0.05673254800944314	-0.08646467553763736	0.011595068777990419	0.7829289673565972	0.4301895464290716
2	1.2239529273442833	0.003014981608876429	-0.07347832370599537	0.019233546237309523	-0.09119030322226797	0.004493992738798247	0.560738508183035	0.14345955311772762
3	1.2230968262795947	0.003050511736069601	-0.0765535091888696	0.013949901959475127	-0.08465718681878699	0.004265611190810457	0.5842046936462632	0.10090465048535299
4	1.2221299956357397	0.003043940936808044	-0.07490372850996146	0.011653991839284958	-0.07727900220876273	0.004470109534514976	0.571616755552701	0.08313775391453662
5	1.2212057807908747	0.0030412326710863575	-0.07402648297697972	0.009860535617561323	-0.0702259433155108	0.004481079493641666	0.5649237063119407	0.0690215487391354
6	1.22040261135123	0.0029893515469172145	-0.07253093951260892	0.009222510786023817	-0.06409659823158813	0.004835968037871651	0.553512168374253	0.06452066540399756
7	1.2195373050101805	0.0029677406421677855	-0.07296832811277755	0.008553060584664143	-0.05749301808766948	0.005017001873813357	0.5568516434734383	0.05953419982791675
8	1.2187070496618198	0.002935582270109724	-0.07367605819738864	0.00836381560248743	-0.05115675713101649	0.005536360870976328	0.5622556327479383	0.05921350496792643
9	1.2178389247940224	0.0029352744742432795	-0.07534719166732005	0.008113756921828117	-0.04453164943120434	0.005818566727337704	0.5750099025482852	0.05746648813329805
10	1.2168439393828216	0.0029788753531389983	-0.07835442137063475	0.00806211809836312	-0.0369384978360156	0.006197469645951054	0.5979591882050237	0.05652013416562489
11	1.2159296863092242	0.002996735741934187	-0.08079056508813189	0.00791619483535989	-0.029961311828222852	0.006493402650934422	0.6165514241388333	0.05546735762041634
12	1.2151130227424563	0.0029967134848834765	-0.08273950280975673	0.008006671472531392	-0.023728816621929737	0.006964523023369476	0.6314256766599818	0.056514809273146435
13	1.2142801001375119	0.003019263402155048	-0.08517672195340101	0.00817649697056809	-0.01737248545387647	0.007358720022796883	0.6500243888718352	0.05716113651022454
14	1.2134281290452231	0.0030518020374241403	-0.08748366765863545	0.00797106302548291	-0.010870753698757306	0.007397489311316508	0.6676293612197072	0.05491195659204392
15	1.2125426816190532	0.0030576636633229894	-0.09009443201776093	0.00791129621759124	-0.004113350192267579	0.007698513251305696	0.6875542880646183	0.054618502282648515
16	1.2116767724659336	0.0030671534536758035	-0.09261109520946456	0.007816581155969397	0.002494951033440104	0.007932479617603226	0.7067610377276201	0.05403909895510461
17	1.2108983369180444	0.003077467338968453	-0.09462422721550633	0.007604681112197766	0.008435495420633161	0.00787207329975217	0.722123742901717	0.05165460370192919
18	1.210040500692227	0.0031435667348036285	-0.09712938602399711	0.007219516044368001	0.014981962961016266	0.007443731005396258	0.7412412364580975	0.04752366262664132
19	1.2093244996153143	0.0031644668198574978	-0.09880507557459411	0.007172229114074424	0.02044613714391337	0.0075793319153583515	0.7540294049060573	0.046960036932328614
20	1.2086432734162387	0.0031841611819292243	-0.10031050915633469	0.007123411032730898	0.025644922063340098	0.007700086595306073	0.7655182365289629	0.04638166329850614
21	1.2079995262494985	0.003202918875560809	-0.10165631491759548	0.007072343431476983	0.030557684551895444	0.007800490559076129	0.7757888534705549	0.04579099890175077
22	1.2073906397639398	0.0032172033151358632	-0.10285443239284109	0.007068011466190963	0.03520442108708226	0.007977426960841099	0.7849324547057301	0.045697067484526135
23	1.206714658599796	0.0032756495748362474	-0.1044605348657316	0.007218056570872295	0.040362887129346936	0.008109033385075343	0.7971879224210255	0.04556010052204408
