ns	Zqq^s	err(Zqq^s)	Zqg	err(Zqg)	Zgq	err(Zgq)	Zgg	err(Zgg)
0	1.229465692064385	0.0038807515830012484	0.0974089563644011	0.05674515650999709	-0.13474076271981678	0.01954690674466652	-0.7714760866694125	0.4488833505981969
1	1.2554423454303596	0.9157701436344801	1.1094207806241714	33.53556673933237	-0.3407139680943304	7.242121726580087	-8.795937899645361	265.2324423025625
2	1.221701140674578	0.002670344000874614	-0.1585881090517256	0.06554559459542297	-0.07324700582867393	0.013179172449893889	1.2560016514376828	0.5156666695424927
3	1.2218129649437746	0.002400860548578171	-0.1148575296619793	0.022636263854993195	-0.07413261646468415	0.005887673260936238	0.9096584947069617	0.173603247587816
4	1.2210643269222676	0.0024629383446186574	-0.09813669172517803	0.015156846753475289	-0.06820341207879345	0.005541747025397794	0.7772342118977065	0.11471422943640015
5	1.2203599965923813	0.002486115608661795	-0.08956447424210562	0.011435652927321198	-0.06262499906217359	0.005102774816985221	0.7093452797093002	0.08551322799502363
6	1.2196942092411551	0.002518362561194103	-0.08349625143549143	0.010007677320941571	-0.057351819458549676	0.005107827593529642	0.6612872660241426	0.07500982246140296
7	1.2188731156133077	0.002525320745522959	-0.0816025887447593	0.008575216261178905	-0.050848675574262814	0.00504737840520288	0.6462905403087107	0.06362520414609335
8	1.218103971078794	0.0025350550521304406	-0.08059976522970595	0.007802804538501793	-0.044757004705511465	0.00511994859511624	0.6383486003084976	0.05737444495065944
9	1.2172815929167693	0.0025438839139453936	-0.08103698673600505	0.007279949766956339	-0.03824371650556062	0.00524275259266867	0.6418119184254302	0.05314600262389956
10	1.2164595183653273	0.0025534276323840917	-0.08203943705387147	0.006943293685648518	-0.03173283638598817	0.005394546107364548	0.6497517488759234	0.050392538706057054
11	1.2155976223667577	0.0025549600846263556	-0.08376992030834611	0.006561639597217048	-0.024906537995571697	0.005403721167736033	0.6634578331641728	0.04731719736311023
12	1.2148029467658827	0.0025669639659195074	-0.08522909526239578	0.006394242492599493	-0.018612659369413625	0.005574488198780388	0.675014806218254	0.04590058411659779
13	1.2140533237791056	0.0025694120460362066	-0.08685834668876798	0.006255040742627258	-0.012675590898783791	0.005581877373405369	0.6879186627043532	0.04461757920696722
14	1.2132402945478755	0.00257782968808508	-0.08883538980375512	0.0060643951176851596	-0.006236362039510435	0.005652912056932739	0.7035770586227887	0.042848798484157014
15	1.2123879512851707	0.0025827190193946476	-0.09115892263173818	0.005838301649778778	0.0005142317715612026	0.005658537223264936	0.7219796287216146	0.040673473109562146
16	1.2116723447436455	0.0025937172241011336	-0.09263952826266479	0.005747911726434275	0.00618187416180941	0.005767000621159338	0.7337062165478263	0.0398145491764947
17	1.2109886528879457	0.0026045024888711097	-0.09401665903269568	0.005665773121305897	0.011596751862779583	0.005862116327059894	0.7446132711892892	0.039030469141563044
18	1.2103372466078166	0.002615019513246819	-0.09528280077547961	0.00559077448222913	0.016755927311118673	0.005946063839630054	0.7546412815448511	0.03831423802039183
19	1.2097173620495112	0.0026252392014845193	-0.0964391484277195	0.005522288892042983	0.02166544998686815	0.006021127819602881	0.7637997115526955	0.0376609358635884
20	1.2091274686564957	0.0026351429223452284	-0.09749200699998799	0.005459835339405412	0.026337441601963957	0.006089307459457225	0.7721384964451816	0.0370655347541287
21	1.208589292424145	0.0026487762420491405	-0.09830566044513295	0.005376402818904139	0.030599837014441033	0.006104338819943888	0.7785827965681666	0.03633429646173367
22	1.2080573093659324	0.0026587404413652466	-0.09916083382187915	0.0053324291524657	0.034813178181069666	0.00617740997753255	0.7853559022479677	0.03592676199885261
23	1.207549615490023	0.0026683433624137875	-0.09993897563808166	0.005292587140138379	0.03883414698268938	0.0062469799256017625	0.7915189034828528	0.035554520314507086
24	1.207061802217056	0.002678398650118816	-0.10065165826217887	0.005258282236968217	0.04269765922091141	0.006324810194265606	0.7971634537984998	0.03522919489090959
25	1.2065861316740822	0.00269947137048942	-0.10135716099001232	0.005322753750972762	0.04646497616528231	0.00653530085073418	0.8027510069191558	0.03569108108793888
26	1.2061247094229994	0.002709879018373541	-0.1019279776721369	0.00529408137760083	0.05011946678405882	0.006617807168808744	0.807271953961329	0.03541430265831608
27	1.2057003847983498	0.0027184175423438073	-0.10244476355288079	0.005266587495716387	0.05348014225753766	0.006681825027666542	0.811364964529929	0.03514324676413347
28	1.2052809504894675	0.002727946663428387	-0.10291054922125471	0.005239391315695768	0.05680208719839953	0.006762980314287567	0.815054041885198	0.0348700115850486
29	1.204890256354005	0.0027351360253579293	-0.10333106631944164	0.0052123633734650655	0.05989640518707462	0.006816393301113619	0.8183845815124262	0.034593174820399406
30	1.204515060094259	0.002741628245240864	-0.1037099671744105	0.005185053991267383	0.06286797805430804	0.006864019733196427	0.8213855106559212	0.0343085679067872
31	1.2041532867745377	0.002747553873304966	-0.1040529621387109	0.00515812224954624	0.06573323940366728	0.0069101241927341265	0.8241020561486546	0.03402220767224061
32	1.2038063492473436	0.0027526084858504425	-0.10436008566045957	0.005129738520856851	0.06848099951401783	0.006945514298599646	0.8265344915761376	0.033717381895232774
33	1.2034719824912115	0.002756992575334786	-0.10463703690139237	0.005100795911699762	0.07112919749538385	0.006975105254532362	0.828727955198065	0.03340238889675005
34	1.2031931362163515	0.0027737899450110534	-0.10468351062995389	0.005160383554130302	0.07333767995538108	0.007202347868079771	0.8290960671966303	0.034006615364276405
35	1.20285322926216	0.0027813597449144823	-0.10492779034399251	0.005138292418935578	0.07602975650143583	0.007268650067384612	0.8310307449446991	0.03373144356088668
36	1.2025502870069351	0.0027852761477842876	-0.10515382881761615	0.005116554852134283	0.07842906446791857	0.007294975174178519	0.8328209458907958	0.03345391350778345
37	1.2022648634566615	0.0027875251332533883	-0.10534948595599218	0.005093113734690299	0.08068962284047701	0.007310439325317986	0.8343705220319938	0.03315822053097412
38	1.201980691231811	0.0027904043432752995	-0.10554139943978898	0.005070900338392982	0.08294026953713753	0.007327655915595069	0.835890444898901	0.032868900611533934
39	1.201655616712634	0.0027970141696687526	-0.10571465000477342	0.0050490855503159135	0.08551486231277691	0.007387476680147278	0.837262552795838	0.032579289209148224
40	1.2013874060054903	0.0027989447552937263	-0.10588152028427421	0.0050265486417222305	0.08763909178695045	0.007396706389247464	0.8385841280953948	0.03228103266523798
