ns	Zqq^s	err(Zqq^s)	Zqg	err(Zqg)	Zgq	err(Zgq)	Zgg	err(Zgg)
0	1.2303190997657114	0.13376646872819575	0.1420792486318047	0.14840368774432156	-0.14757853625848624	0.14315908619835768	-1.1715232491367165	1.2242946437591862
1	1.1931510543294	0.9076302228782779	-1.1658205002038609	22.95395992458827	0.15912638976759258	5.134867575695599	9.62078398194774	189.76722105213736
2	1.2205622846988584	0.0209688891823525	-0.16666572458357515	0.08108944213412422	-0.06712646648055813	0.02366698992099564	1.374267618941577	0.671100067579711
3	1.220948958212681	0.011107390515175269	-0.11668776641357273	0.030834757646838126	-0.07031550256047947	0.012108569467192595	0.9621576307311238	0.25517392762539076
4	1.2204681747810608	0.007707526613792458	-0.09730285612385606	0.017686811683515588	-0.06635153798510014	0.008730115953885073	0.8023134652355763	0.1456589169874503
5	1.2198099042331079	0.005863132500053911	-0.08746137165454985	0.012234984465613564	-0.06092397737881372	0.0070844132975495045	0.7211632574313255	0.09995699203418307
6	1.2191073489985003	0.006196349608483251	-0.08263796700717069	0.009795255103278663	-0.05513122635336866	0.006732519770059122	0.68139030341771	0.07906346130681094
7	1.2183656916125525	0.006311088508758465	-0.08037392837065123	0.008536112525264504	-0.049015991496740005	0.00660308563794424	0.662721580386393	0.06822777674383548
8	1.2176027306286419	0.006424263932140749	-0.07964035876986662	0.007812894141862469	-0.042725054883633914	0.006598920558135093	0.6566727684403443	0.062002831324853465
9	1.2168262084585406	0.006387651857332981	-0.07986474048257555	0.007337020920824365	-0.03632226850264986	0.006595517972224122	0.658522979439086	0.05793894782890778
10	1.216044302878299	0.006198397579415265	-0.08069018387776011	0.006978434030134461	-0.029875072375952317	0.00656759599096425	0.6653293534950734	0.05490208142796122
11	1.215277234853294	0.005906314529469467	-0.08187852768214324	0.0066824340272913394	-0.023550206191419898	0.00649449331325538	0.6751280533943765	0.05240043793419668
12	1.21450485082763	0.005565798860199164	-0.08326289859649356	0.006426571560816626	-0.017181503749615436	0.0064501109728257585	0.6865430824711167	0.05022618806201824
13	1.2137259824254245	0.005531318125009422	-0.08494732761586832	0.006121578368844172	-0.010759333688277641	0.006330133826485353	0.7004322248946507	0.04759233613365421
14	1.2129083587996417	0.004859214044752715	-0.08699529180460844	0.005559082017813266	-0.0040175875201936715	0.005906553440082596	0.7173189953730149	0.04273199874913649
15	1.2121941870927304	0.00462446059158657	-0.08842232557814922	0.005386536766043431	0.0018711199394717444	0.00586853196453681	0.7290856701662723	0.041158656668204195
16	1.2115073431923205	0.004388233086607475	-0.08978206564097573	0.005222396939574049	0.007534493859373133	0.005823376388516255	0.7402974482441276	0.03963092597169635
17	1.2108704551566605	0.0041568218871028285	-0.09105607310068321	0.0050680970199592085	0.012785949470568967	0.005721287034715199	0.7508022956394383	0.038163951711719324
18	1.2102428374947127	0.0039393154475390185	-0.09223264409943369	0.004924551271374351	0.017960967909847827	0.005673286050188983	0.7605037113834308	0.03676828978755965
19	1.2096568854290914	0.0037374149998882413	-0.09331091575511725	0.004793574247442209	0.022792433172911526	0.0055966691678367144	0.7693945831176723	0.03546238314098685
20	1.209090799203698	0.0035567209806693966	-0.09429207470367154	0.004675560856316259	0.027460089523885425	0.005560693359445167	0.7774846983384552	0.03425332701249115
21	1.2085496188409879	0.0033968651203587635	-0.09518183344904046	0.004570892108473232	0.03192238369362857	0.005521555432213633	0.7848211612145665	0.03314717296479332
22	1.208038344480141	0.0032580750547285737	-0.09598743902322332	0.004479304303212388	0.03613808842598419	0.005490386816933548	0.791463729016622	0.03214464947921033
