ns	Zgq^{mu=nu}	Zgq^{mu!=nu}
0	-0.04474761548656853	0.00081701646219106
1	0.015464895747703863	0.037153958825960454
2	0.04509148200044828	0.05999502372547161
3	0.06566793281892525	0.07712709344512582
4	0.08159678399777415	0.09093467927184068
5	0.09464401317688297	0.10253440151857783
6	0.10571458857710643	0.11255091450176134
7	0.11533934223200994	0.12137249513007038
8	0.12385807277509898	0.1292582798373369
9	0.1315021374993801	0.13639038583848417
10	0.13843651336428975	0.14290194555216745
11	0.14478310206893164	0.14889336743052678
12	0.1506346859533677	0.15444232471211156
13	0.15606351620126568	0.15961017717848774
14	0.1611270101010186	0.16444627097125353
15	0.1658715484703055	0.16899089576942916
16	0.17033519199035502	0.1732773820330114
17	0.17454950532337743	0.1773336322905696
18	0.17854102399919475	0.18118322864463388
19	0.18233222301278257	0.18484629714982787
20	0.1859423348645337	0.18834015031898582
21	0.18938793970093598	0.1916797885935415
22	0.19268343323277903	0.1948782935337494
23	0.19584139300247932	0.19794714636990135
24	0.19887286703611023	0.20089648426449042
25	0.20178763383588294	0.20373528690030374
26	0.20459437525188462	0.20647156345776124
27	0.2073008336545622	0.20911247799557348
28	0.20991394306190825	0.21166446950840118
29	0.2124399382499786	0.21413334363298625
30	0.21488446139871165	0.2165243514077651
31	0.21725260398462354	0.21884226741528146
32	0.21954901131856586	0.22109143530931513
33	0.22177790993708613	0.2232758192996449
34	0.22394315646945778	0.2253990567041826
35	0.22604831592827968	0.22746447979368523
36	0.22809659929543885	0.22947516046726635
37	0.23009104483677567	0.2314339317090574
38	0.2320343685471879	0.23334340085266975
39	0.23392916619411985	0.2352059999113324
40	0.23577779731926318	0.23702397385099538
