ns	Zgq^{mu=nu}	Zgq^{mu!=nu}
0	-0.06601309832562068	-0.021887871961299023
1	-0.007702725245807861	0.013301171351763064
2	0.020987944883483864	0.03542067755619163
3	0.04091437710312004	0.05201153810169554
4	0.05634002927958699	0.06538293657658606
5	0.06897509108811392	0.07661621879592083
6	0.07969594242885324	0.08631630598769661
7	0.08901664613169553	0.09485920923232267
8	0.09726626645065649	0.10249587873641848
9	0.10466885200608776	0.10940267855670162
10	0.1113841680669861	0.11570853540361274
11	0.11753026540732013	0.12151068578472542
12	0.1231969953346226	0.12688434920883096
13	0.12845432658776124	0.1318889470765961
14	0.13335786261922133	0.13657226666457956
15	0.13795251905745232	0.1409733248841636
16	0.14227515423100795	0.1451243992723168
17	0.14635633566135314	0.14905251090518085
18	0.15022176060993875	0.15278049691690537
19	0.1538931940773457	0.15632784757171742
20	0.15738926100131823	0.1597113284730044
21	0.16072601775465328	0.16294546619204575
22	0.16391740528167775	0.16604292903719264
23	0.16697560379503673	0.16901483554191932
24	0.1699113123090868	0.17187100263155952
25	0.17273400041910625	0.17462012631700397
26	0.1754520757119445	0.1772699627653479
27	0.17807303597336105	0.17982744971972164
28	0.18060359617284977	0.18229882276427917
29	0.18304979412730998	0.1846897041332946
30	0.18541709377788046	0.1870051789827264
31	0.18771042575922658	0.18924987106407937
32	0.18993428863490708	0.1914279868133124
33	0.19209277542343056	0.19354336520917648
34	0.19418962092155512	0.19559952866520475
35	0.19622827752165606	0.1975997041843418
36	0.19821185476937342	0.19954686662313664
37	0.2001432949504719	0.2014437594705792
38	0.20202522826044622	0.2032929076935327
39	0.20386016846537275	0.2050966664769217
40	0.20565040056804418	0.2068572098672925
