ns	Zgq^{mu=nu}	Zgq^{mu!=nu}
0	-0.08952095216514441	-0.04688204921519991
1	-0.03317471796802003	-0.012878321045314653
2	-0.0054504704115044406	0.008496107055385796
3	0.013804755670207142	0.024528117561462198
4	0.028710806931256258	0.037449111035093255
5	0.04092026665781176	0.04830400901125044
6	0.05127999458496825	0.0576773564239348
7	0.0602867377420306	0.06593249871716293
8	0.0682584761134055	0.07331193303796289
9	0.07541171141854859	0.0799860827590365
10	0.08190082735950087	0.08607953179636745
11	0.08783989826310785	0.09168624132253737
12	0.0933157488665433	0.09687889713656779
13	0.09839599106694467	0.10171491907615561
14	0.10313435535839764	0.10624048474117535
15	0.10757424442186718	0.11049329678915236
16	0.11175127504220826	0.1145045455137046
17	0.11569498509805763	0.11830034180735642
18	0.11943020625890143	0.12190275355342288
19	0.12297797038845891	0.12533061450196759
20	0.12635627505815022	0.12860012552026384
21	0.12958063579453083	0.13172532386350588
22	0.132664523952224	0.1347184511180794
23	0.1356197094630277	0.13759025129843633
24	0.13845653095344657	0.14035021065453074
25	0.14118413904291804	0.14300673227899185
26	0.14381065811536592	0.14556731107854942
27	0.1463433333995558	0.14803865110393377
28	0.14878865367653543	0.15042677789856934
29	0.1511524533841086	0.1527371243162074
30	0.15344001241487037	0.15497460422334253
31	0.15565609531895008	0.1571436856240605
32	0.1578050491293445	0.1592484332638457
33	0.1598908289944651	0.1612925568084806
34	0.1619170439073897	0.1632794600217795
35	0.16388702996938193	0.16521226120764038
36	0.165803791983492	0.16709383501691788
37	0.16767017312691135	0.16892683252634133
38	0.16948871499907603	0.17071369365125855
39	0.17126184669183664	0.1724566942440492
40	0.17299177623947065	0.174157935120218
