ns	Zgq^{mu=nu}	Zgq^{mu!=nu}
0	-0.10759123718614522	-0.06625760677548473
1	-0.05296988770934098	-0.03329480905977965
2	-0.026094341608637106	-0.01257470018665166
3	-0.007428561223304431	0.0029665344876060873
4	0.007021182346079929	0.015491987344697422
5	0.01885688310141434	0.026014592525666125
6	0.02889947650018851	0.03510100073183975
7	0.03763050302999382	0.043103434587520084
8	0.04535820859408177	0.0502569678576833
9	0.05229246730825107	0.056726806873009766
10	0.058582936842847655	0.06263372175613668
11	0.0643401994534871	0.06806879731721979
12	0.06964842197722554	0.07310249427980028
13	0.07457314655924727	0.07779047473144154
14	0.07916645888259455	0.08217750267202192
15	0.08347043297473339	0.08630012659608124
16	0.0875195953107783	0.09018858199233087
17	0.09134257954859146	0.09386818044025866
18	0.09496345720451146	0.09736031427573125
19	0.09840261630969474	0.10068324070544293
20	0.10167750348949753	0.10385266465175053
21	0.1048031593053767	0.1068821936579546
22	0.10779264272354863	0.10978369456800033
23	0.11065736337177676	0.11256758249793819
24	0.1134073433879991	0.1152430533023154
25	0.11605145327065	0.11781825283623176
26	0.11859756869802299	0.1203004465704968
27	0.12105271310616622	0.1226961333297979
28	0.12342317663997299	0.12501115420214873
29	0.12571461513200824	0.12725077572945093
30	0.1279321468455018	0.1294197613537146
31	0.13008039047700765	0.13152244230339016
32	0.13216355998708385	0.13356275889297783
33	0.13418548944817013	0.13554430722706273
34	0.13614967737396436	0.13747038687260757
35	0.13805935774018138	0.13934402067522783
36	0.13991744336610437	0.14116799528626214
37	0.14172669039288846	0.14294488062702976
38	0.14348956261590523	0.14467704192159236
39	0.14520841476705068	0.1463666853533792
40	0.14688538728771638	0.14801584742721632
